Noise,N,Kernel,Regular,Optimization,N_per_Time,RMSE,MAE,R2,NLPD,MSLL,CRPS,sMSE,Coverage,NLML
0.01,50,SqExp,No,Default,1,2.49157057149034,2.10292233850974,0.9999440912288,2.56362970938502,-4.66580808445921,1.56412042083531,5.57969536580563e-05,1,516.539976736809
0.01,50,Matern 1/2,No,Default,1,3.37330582293359,2.64890954574225,0.999897518613194,3.75849329397189,-3.47094449987234,4.35399991138286,0.000102276424032208,1,305.254117894209
0.01,50,Matern 3/2,No,Default,1,2.98787050974943,2.4267614813269,0.999919599804379,2.65223268583295,-4.57720510801128,1.78537840193014,8.02393952300988e-05,1,344.900916389381
0.01,50,Matern 5/2,No,Default,1,2.68881772095504,2.22475504531685,0.999934888712175,2.5746318662227,-4.65480592762153,1.63379295330956,6.49810652493865e-05,1,379.826032021239
0.01,50,RatQuad,No,Default,1,2.50007691620297,2.12280966122479,0.999943708826542,2.54093114256543,-4.6885066512788,1.54978912264353,5.61785911112101e-05,1,363.408318712683
0.05,5,SqExp,No,Default,1,100.00365233209,66.8912696752053,0.909933085506276,6.5113648165617,-0.721651175579768,50.7547759408236,0.0898867806647361,0.688,50.5979848201981
0.05,5,Matern 1/2,No,Default,1,157.524802141672,90.3619646987399,0.776523712834222,6.27751249754145,-0.955503494600015,77.8153540655301,0.223029334591446,1,54.0877940958807
0.05,5,Matern 3/2,No,Default,1,117.422539998361,72.5846224403218,0.875824332626218,5.75667242999691,-1.47634356214456,55.3578370393053,0.123927316039035,0.882,50.6915409934493
0.05,5,Matern 5/2,No,Default,1,107.810269269737,68.4000699598965,0.895322383969374,5.79861597499779,-1.43440001714368,51.5887741581059,0.104468260798565,0.738,49.90272199257
0.05,5,RatQuad,No,Default,1,100.003649681985,66.8912685086289,0.909933090279838,6.51151516488739,-0.721500827254077,50.7548379387398,0.0898867759007221,0.688,50.5979855615501
0.05,10,SqExp,No,Default,1,22.9578850864642,18.2362887741893,0.995253239527119,5.06626607789701,-2.17616461066156,17.3703582076531,0.00473726695193504,0.834,95.3178323211303
0.05,10,Matern 1/2,No,Default,1,30.7556220185576,19.7842802230661,0.991481118217929,5.51890575058035,-1.72352493797822,28.1797760569698,0.00850184401850655,0.998,81.4551804140054
0.05,10,Matern 3/2,No,Default,1,23.6517280104816,19.1361387845614,0.994961986650604,5.08300164976965,-2.15942903878892,16.1480615653637,0.00502793732269693,0.904,84.9747558453791
0.05,10,Matern 5/2,No,Default,1,30.5452170711712,23.055623674588,0.991597278037413,4.98271032912763,-2.25972035943094,17.2499671175354,0.00838591651866159,0.872,89.5978272366803
0.05,10,RatQuad,No,Default,1,23.0549611531986,18.1472633693007,0.995213011861473,5.03506746196824,-2.20736322659033,17.2786184449095,0.00477741416224961,0.838,94.7975753271839
0.05,25,SqExp,No,Default,1,19.0176486428232,14.6616837812631,0.996742779191352,4.27664109844112,-2.95510709976715,10.2576122407896,0.00325070636703061,0.898,253.858087610033
0.05,25,Matern 1/2,No,Default,1,20.3423630620626,15.5038412239385,0.996273197620557,4.7000215289875,-2.53172666922078,12.9683583314856,0.00371934877468433,0.984,170.335358290765
0.05,25,Matern 3/2,No,Default,1,17.2255171307563,12.9190367188165,0.997327743762689,4.20920979345887,-3.02253840474941,9.44251403660092,0.00266691172483631,0.936,198.72374273688
0.05,25,Matern 5/2,No,Default,1,17.7042857755402,13.505802858747,0.997177133211807,4.18924634967495,-3.04250184853332,9.52127352227913,0.00281722105461666,0.93,214.028596252495
0.05,25,RatQuad,No,Default,1,18.9928480468359,14.4225861347276,0.996751269025847,4.27915291024571,-2.95259528796257,10.1940033607051,0.00324223351220434,0.892,225.644641808591
